Trajectories
200
,,Remi:T1,,,Remi:T13,,,Remi:XYPH,,,Remi:VTR1,,,Remi:VT2,,,Remi:TV3,,,Remi:DRSC,,,Remi:CDSC,,,Remi:ACRM,,,Remi:SC1,,,Remi:SC2,,,Remi:GRTB,,,Remi:LEPI,,,Remi:MEPI,,,Remi:TRIC,,,Remi:OLEC,,,Remi:MSTY,,,Remi:LSTY,,,Remi:MDCR,,,Remi:ACCB,,,Remi:MCP5,,,Remi:MCP2,,,Remi:ILWG,,,Remi:ISCM,,,Remi:CRS,,,Remi:CDS,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
100,0,-84.8421,236.487,645.381,-142.659,445.68,631.707,-92.993,361.231,318.097,-207.328,419.685,613.856,,,,,,,-141.881,223.403,613.566,-163.85,268.939,589.494,-183.787,169.159,460.282,-183.939,166.07,501.535,-189.976,205.702,484.107,-164.84,138.826,440.299,-166.692,213.318,294.711,-107.069,215.881,292.663,-176.661,225.673,381.389,-156.384,250.741,312.873,-76.1507,210.206,118.683,-127.879,224.284,115.298,-122.365,194.102,189.879,-117.529,241.364,82.2581,-115.422,201.421,37.337,-67.1045,203.126,47.9086,-282.755,630.264,585.397,-326.03,658.18,455.142,-238.808,669.299,587.8,-254.892,711.019,539.831
101,0,-84.6385,236.318,644.936,-142.591,445.736,631.792,-92.8566,360.908,318.465,-207.397,419.52,613.885,,,,,,,-141.766,223.333,613.531,-163.645,269.052,589.188,-184.138,168.798,460.32,-183.747,166.11,501.491,-189.944,205.656,484.164,-164.825,138.792,440.37,-166.703,213.253,294.675,-107.107,215.846,292.644,-176.587,225.65,381.328,-156.338,250.652,312.795,-76.2595,210.147,118.736,-128.035,224.195,115.387,-122.383,194.045,189.878,-117.47,241.308,82.2291,-115.397,201.333,37.4722,-67.102,203.235,47.9186,-282.891,630.307,585.46,-325.992,658.671,455.233,-238.74,664.922,582.438,-255.213,710.891,539.552
102,0,-84.3379,236.499,645.301,-142.595,445.855,631.745,-93.2658,361.56,318.518,-207.593,418.86,613.945,,,,,,,-141.3,223.339,613.544,-163.448,269.036,589.026,-184.031,168.809,460.386,-183.706,166.072,501.529,-189.879,205.604,484.22,-164.788,138.73,440.425,-166.733,213.182,294.787,-107.159,215.88,292.581,-176.596,225.605,381.36,-156.258,250.54,312.992,-76.0686,210.202,118.643,-128.114,224.189,115.408,-122.436,194.037,189.874,-117.898,241.318,82.3476,-115.413,201.397,37.4924,-67.1224,203.369,47.8988,-282.768,625.581,579.412,-325.964,659.07,455.312,-238.799,665.038,582.013,-255.518,710.605,539.401
103,0,-84.1104,236.345,644.788,-142.287,445.686,631.793,-93.4549,361.721,318.47,-207.562,418.713,613.997,,,,,,,-141.371,223.173,613.692,-163.478,268.94,589.097,-184.13,168.674,460.42,-183.442,166.224,501.397,-189.868,205.512,484.288,-164.801,138.647,440.445,-166.811,213.08,294.752,-107.236,215.9,292.538,-176.769,225.435,381.688,-156.394,250.5,312.86,-76.2792,210.075,118.753,-128.116,224.102,115.43,-122.469,193.967,189.952,-117.733,241.397,82.5119,-115.502,201.413,37.471,-67.1205,203.239,48.0086,-282.878,625.553,579.394,-325.952,658.997,455.44,-238.8,664.987,581.944,-255.647,710.496,539.42
104,0,-84.0186,236.274,644.771,-142.32,445.924,631.698,-93.4361,361.205,318.076,-207.645,418.529,613.984,,,,,,,-141.273,223.115,613.724,-162.654,269.212,588.344,-183.603,169.087,460.349,-183.375,166.141,501.36,-189.827,205.423,484.454,-164.727,138.553,440.494,-166.886,212.947,294.865,-107.295,215.895,292.528,-176.702,225.381,381.644,-156.378,250.429,313.206,-77.7242,209.155,118.324,-128.199,224.078,115.356,-122.521,193.888,190.039,-117.708,241.281,82.2878,-115.564,201.291,37.4662,-67.0703,203.1,47.9905,-282.939,625.517,579.339,-326.104,659.005,455.501,-238.943,665.028,581.794,-255.723,710.438,539.379
105,0,-83.7943,236.494,645.142,-142.458,445.741,631.755,-93.4612,361.148,318.062,-207.749,418.37,613.771,,,,,,,-141.132,223.048,613.691,-162.542,269.18,588.282,-183.846,168.764,460.416,-183.08,166.311,501.336,-189.79,205.335,484.508,-164.642,138.621,440.452,-166.865,212.876,294.823,-107.328,215.872,292.544,-176.723,225.336,381.619,-156.333,250.402,313.183,-76.3545,210.04,118.771,-128.302,224.013,115.5,-122.487,193.908,189.956,-118.181,241.208,82.3565,-115.516,201.27,37.5241,-67.2832,203.339,47.9117,-283.024,625.472,579.283,-326.225,658.947,455.535,-238.971,664.965,581.802,-255.81,710.252,539.326
106,0,-83.5677,236.501,645.027,-142.42,445.535,631.705,-93.6051,361.14,317.93,-207.683,418.176,614.008,,,,,,,-141.246,222.969,613.535,-162.553,269.048,588.406,-183.863,168.64,460.421,-183.38,165.917,501.568,-189.722,205.272,484.527,-164.631,138.539,440.488,-166.886,212.802,294.84,-107.335,215.849,292.568,-176.679,225.288,381.704,-156.384,250.295,312.96,-76.2323,210.061,118.648,-128.297,223.985,115.44,-122.464,193.869,189.871,-118.168,241.297,82.3978,-115.566,201.302,37.368,-67.2516,203.165,47.9971,-283.049,625.356,579.332,-326.221,658.847,455.573,-239.101,664.847,581.738,-255.962,710.206,539.381
107,0,-83.1847,236.575,644.953,-142.487,445.412,631.743,-93.6591,361.122,317.893,-207.668,418.016,614.226,,,,,,,-141.042,222.889,613.647,-162.346,269.046,588.241,-183.646,168.802,460.438,-183.126,166.034,501.49,-189.731,205.197,484.534,-164.585,138.508,440.488,-166.813,212.803,294.767,-107.329,215.84,292.581,-176.676,225.186,381.772,-156.317,250.267,312.957,-76.222,210.085,118.639,-128.334,223.998,115.356,-122.44,193.858,189.894,-118.302,241.217,82.3895,-115.548,201.289,37.397,-67.0809,203.228,48.1525,-283.174,625.286,579.307,-326.233,658.955,455.5,-239.202,664.674,581.757,-256.021,710.094,539.427
108,0,-83.5629,236.207,644.894,-142.548,445.132,631.742,-93.8172,361.566,318.284,-207.777,417.617,614.142,,,,,,,-140.926,222.84,613.641,-162.409,268.989,588.305,-183.204,169.148,460.161,-183.179,165.821,501.566,-189.752,205.165,484.547,-164.536,138.442,440.468,-166.906,212.7,294.977,-107.329,215.84,292.581,-176.718,225.12,381.809,-156.387,250.187,312.968,-76.2306,210.033,118.636,-128.268,223.958,115.376,-122.43,193.864,189.907,-118.572,241.277,82.5487,-115.548,201.345,37.4861,-67.3662,203.442,47.8877,-283.217,625.164,579.278,-326.197,659.23,455.433,-239.362,664.603,581.675,-256.069,709.985,539.397
109,0,-83.5028,236.228,644.931,-142.614,445.013,631.95,-93.7331,361.038,317.898,-208.024,417.677,613.853,,,,,,,-140.799,222.752,613.601,-162.699,268.777,588.638,-183.202,169.042,460.266,-182.603,166.189,501.404,-189.666,205.03,484.652,-164.465,138.219,440.697,-166.956,212.491,295.226,-107.329,215.84,292.581,-176.664,225.033,381.768,-156.332,250.15,313.014,-76.4696,209.967,118.831,-128.186,223.951,115.406,-122.43,193.864,189.928,-118.397,241.213,82.4907,-115.533,201.364,37.3773,-67.2289,203.247,47.9715,-283.35,625.08,579.283,-326.617,658.54,455.251,-239.527,664.52,581.743,-256.274,709.811,539.36
110,0,-83.5339,236.039,645.363,-142.537,444.711,631.799,-93.7662,360.992,318.01,-208.109,417.416,613.897,,,,,,,-140.69,222.695,613.68,-162.118,268.818,588.24,-182.974,169.077,460.138,-183.188,165.502,501.698,-189.639,204.967,484.668,-164.365,138.305,440.565,-167.115,212.268,295.653,-107.271,215.855,292.589,-176.687,224.917,381.889,-156.29,250.131,312.976,-76.3581,209.97,118.739,-128.228,223.954,115.413,-122.37,193.798,189.923,-118.04,241.199,82.3559,-115.575,201.3,37.3501,-67.2002,203.352,48.0338,-283.83,624.628,578.806,-326.506,658.985,455.419,-239.622,664.194,582.363,-256.249,709.877,539.504
111,0,-83.1872,235.953,645.045,-142.578,444.613,631.874,-93.7704,361.013,318.003,-207.62,417.663,614.606,,,,,,,-140.727,222.579,613.834,-161.409,268.89,587.845,-183.733,168.142,460.528,-183.124,165.45,501.74,-189.595,204.867,484.706,-164.348,138.293,440.553,-166.958,212.391,295.347,-107.182,215.756,292.612,-176.572,224.888,381.907,-156.185,250.106,312.936,-76.3453,209.987,118.695,-128.174,223.958,115.373,-122.373,193.797,189.929,-118.197,241.245,82.3463,-115.599,201.297,37.4208,-67.2346,203.107,47.9558,-283.985,624.666,578.866,-326.744,658.352,455.297,-239.722,664.267,582.383,-256.52,709.531,539.43
112,0,-82.5863,236.354,645.487,-142.574,444.453,632.021,-93.7885,361.041,317.821,-207.613,417.57,614.697,,,,,,,-140.504,222.532,613.64,-163.099,267.922,589.91,-183.705,167.925,460.553,-183.007,165.353,501.735,-189.595,204.852,484.684,-164.188,138.24,440.646,-167.086,212.17,295.772,-106.938,215.568,292.607,-176.595,224.773,382.077,-156.173,250.091,313.015,-76.3015,210.004,118.71,-128.162,223.961,115.388,-122.353,193.767,190.056,-118.555,241.27,82.4584,-115.503,201.357,37.3856,-67.0828,203.252,48.018,-284.056,624.598,578.916,-327.101,657.912,455.227,-239.974,664.21,581.755,-256.645,709.466,539.513
113,0,-82.3813,236.537,646.037,-142.652,443.92,632.099,-93.7833,361.006,317.764,-207.732,417.184,614.639,,,,,,,-140.351,222.442,613.66,-163.603,266.845,591.414,-183.646,167.857,460.504,-182.968,165.292,501.776,-189.431,204.769,484.718,-164.105,138.188,440.743,-166.994,212.223,295.62,-106.938,215.568,292.607,-176.502,224.814,382.076,-156.175,249.996,313.029,-76.4134,209.91,118.775,-128.163,223.954,115.423,-122.378,193.764,190.086,-117.96,241.148,82.3484,-115.622,201.225,37.4682,-67.2364,203.347,47.9381,-284.151,624.518,578.871,-327.267,657.771,455.277,-240.226,664.214,581.972,-256.416,709.717,539.654
114,0,-82.5966,235.575,645.362,-142.448,444.362,631.963,-93.7673,361.02,317.792,-207.683,417.104,614.674,,,,,,,-140.187,222.374,613.6,-162.421,266.196,591.488,-183.692,167.665,460.479,-182.696,165.376,501.612,-189.459,204.706,484.688,-164.063,138.091,440.701,-166.863,212.284,295.479,-106.863,215.58,292.57,-176.386,224.8,381.956,-156.064,249.978,312.997,-76.2974,210.01,118.702,-128.232,223.909,115.439,-122.339,193.741,190.139,-118.224,241.254,82.3541,-115.515,201.272,37.553,-67.2397,203.079,47.9977,-284.261,624.449,578.873,-327.474,656.998,455.096,-240.416,664.098,582.058,-256.408,709.466,539.56
115,0,-82.5735,235.281,645.302,-142.627,444.196,631.99,-93.7641,361.036,317.682,-207.775,416.919,614.516,,,,,,,-139.991,222.304,613.583,-161.119,265.905,591.06,-183.584,167.591,460.44,-182.745,165.117,501.728,-189.413,204.548,484.705,-163.99,137.948,440.875,-166.737,212.352,295.315,-106.805,215.593,292.559,-176.271,224.771,381.949,-156.052,249.963,313.076,-76.1901,210.072,118.642,-128.168,223.955,115.438,-122.242,193.754,190.053,-118.51,241.156,82.4327,-115.563,201.285,37.4692,-67.1848,203.057,48.0273,-284.387,624.369,578.793,-327.346,657.507,455.247,-240.482,663.888,582.16,-256.498,709.335,539.521
